1,0.400000,0.000000,0,0
1001,1449.800000,500499.000000,500499,500499
2001,6253.400000,2000999.000000,2000999,2000999
3001,13145.600000,4501499.000000,4501499,4501499
4001,34604.200000,8001999.000000,8001999,8001999
5001,56928.800000,12502499.000000,12502499,12502499
6001,83420.400000,18002999.000000,18002999,18002999
7001,108842.000000,24503499.000000,24503499,24503499
8001,140607.200000,32003999.000000,32003999,32003999
9001,181079.400000,40504499.000000,40504499,40504499
